word,definition,difficulty_level,frequency_score,word_type,first_char,last_char,word_length
에콜드파리,에콜드파리의 뜻,2,30,명사,에,리,5
연차관,연차관의 뜻,2,30,명사,연,관,3
와영,와영의 뜻,2,30,명사,와,영,2
옴찍옴찍하다,옴찍옴찍하다의 뜻,3,30,명사,옴,다,6
옴배미,옴배미의 뜻,2,30,명사,옴,미,3
구절구조규칙,구절구조규칙의 뜻,3,30,명사,구,칙,6
경제화,경제화의 뜻,2,30,명사,경,화,3
총탄,총탄의 뜻,2,30,명사,총,탄,2
균핵병,균핵병의 뜻,2,30,명사,균,병,3
이곽,이곽의 뜻,2,30,명사,이,곽,2
엎집,엎집의 뜻,2,30,명사,엎,집,2
권우,권우의 뜻,2,30,명사,권,우,2
언재,언재의 뜻,2,30,명사,언,재,2
년회,년회의 뜻,2,30,명사,년,회,2
군범집책,군범집책의 뜻,2,30,명사,군,책,4
깃벌림선,깃벌림선의 뜻,2,30,명사,깃,선,4
권독,권독의 뜻,2,30,명사,권,독,2
오훼,오훼의 뜻,2,30,명사,오,훼,2
기념주,기념주의 뜻,2,30,명사,기,주,3
신비평,신비평의 뜻,2,30,명사,신,평,3
에스코리알,에스코리알의 뜻,2,30,명사,에,알,5
와글,와글의 뜻,2,30,명사,와,글,2
요염하다,요염하다의 뜻,2,30,명사,요,다,4
내립뜨다,내립뜨다의 뜻,2,30,명사,내,다,4
암석권,암석권의 뜻,2,30,명사,암,권,3
와이급절연,와이급절연의 뜻,2,30,명사,와,연,5
왱왱,왱왱의 뜻,2,30,명사,왱,왱,2
쪽잎꼭지,쪽잎꼭지의 뜻,2,30,명사,쪽,지,4
어깨싸움하다,어깨싸움하다의 뜻,3,30,명사,어,다,6
연마석,연마석의 뜻,2,30,명사,연,석,3
왜놈,왜놈의 뜻,2,30,명사,왜,놈,2
예기자,예기자의 뜻,2,30,명사,예,자,3
운객,운객의 뜻,2,30,명사,운,객,2
줄비늘치,줄비늘치의 뜻,2,30,명사,줄,치,4
중간비행장,중간비행장의 뜻,2,30,명사,중,장,5
중도퇴학,중도퇴학의 뜻,2,30,명사,중,학,4
